conv1c,conv2c,conv1k,conv2k,fc1,fc2,batchnorm,dropout,lr,weight_decay,max_epoch,Accuracy,Loss
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.1,0.001,0.0001,2,0.985276442,0.057796758
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.3,0.001,0.0001,2,0.985877404,0.022978146
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.5,0.001,0.0001,2,0.985076122,0.056120377
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.7,0.001,0.0001,2,0.985777244,0.121506296
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.1,0.001,0.0001,3,0.989082532,0.018301446
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.3,0.001,0.0001,3,0.989483173,0.024250835
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.5,0.001,0.0001,3,0.98838141,0.056187619
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.7,0.001,0.0001,3,0.987079327,0.08275333
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.1,0.001,0.0001,4,0.98838141,0.081096031
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.3,0.001,0.0001,4,0.990084135,0.111910202
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.5,0.001,0.0001,4,0.989483173,0.105530508
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.7,0.001,0.0001,4,0.989483173,0.004183735
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.1,0.001,1.00E-05,2,0.986979167,0.002537664
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.3,0.001,1.00E-05,2,0.988481571,0.000355196
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.5,0.001,1.00E-05,2,0.98838141,0.003906289
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.7,0.001,1.00E-05,2,0.986578526,0.016595528
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.1,0.001,1.00E-05,3,0.990284455,0.013476576
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.3,0.001,1.00E-05,3,0.987780449,0.017611768
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.5,0.001,1.00E-05,3,0.987479968,0.012350624
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.7,0.001,1.00E-05,3,0.987580128,0.317294061
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.1,0.001,1.00E-05,4,0.987680288,0.054380108
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.3,0.001,1.00E-05,4,0.98838141,0.046629649
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.5,0.001,1.00E-05,4,0.989182692,0.026085775
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.7,0.001,1.00E-05,4,0.989182692,0.009930799
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.1,0.001,1.00E-06,2,0.986578526,0.197538704
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.3,0.001,1.00E-06,2,0.989182692,0.006798635
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.5,0.001,1.00E-06,2,0.986478365,0.003431046
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.7,0.001,1.00E-06,2,0.986678686,0.01428825
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.1,0.001,1.00E-06,3,0.989082532,0.023368338
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.3,0.001,1.00E-06,3,0.989483173,0.07468278
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.5,0.001,1.00E-06,3,0.987980769,0.124154329
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.7,0.001,1.00E-06,3,0.987479968,0.034663934
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.1,0.001,1.00E-06,4,0.98818109,0.018351994
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.3,0.001,1.00E-06,4,0.98828125,0.016811522
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.5,0.001,1.00E-06,4,0.989483173,0.002797727
,,,,,,,,,,,,
16,32,5,3,128,10,1,0.7,0.001,1.00E-06,4,0.987079327,0.005747025
