TempRev,TempSet,TimeLog
21.7,60.0,18:27
21.4,60.0,18:29
21.6,60.0,18:32
21.6,60.0,18:35
21.7,60.0,18:38
21.7,60.0,18:41
21.8,60.0,18:44
21.8,60.0,18:47
22.2,60.0,18:50
22.0,60.0,18:53
21.5,60.0,18:56
21.5,60.0,18:59
21.5,60.0,19:02
21.5,60.0,19:05
21.5,60.0,19:08
21.5,60.0,19:11
21.6,60.0,19:14
21.6,60.0,19:17
21.7,60.0,19:20
21.7,60.0,19:23
21.6,60.0,19:26
21.8,60.0,19:29
22.1,60.0,19:32
22.0,60.0,19:35
22.0,60.0,19:38
22.0,60.0,19:41
21.5,60.0,19:44
21.5,60.0,19:47
21.5,60.0,19:50
21.6,60.0,19:53
21.6,60.0,19:56
21.7,60.0,19:59
21.7,60.0,20:02
21.7,60.0,20:05
21.7,60.0,20:08
21.7,60.0,20:11
22.2,60.0,20:14
22.1,60.0,20:17
22.1,60.0,20:20
22.1,60.0,20:23
21.5,60.0,20:26
21.5,60.0,20:29
21.5,60.0,20:32
21.5,60.0,20:35
21.5,60.0,20:38
21.7,60.0,20:41
21.7,60.0,20:44
21.7,60.0,20:47
21.7,60.0,20:50
21.6,60.0,20:53
22.0,60.0,20:56
22.0,60.0,20:59
22.0,60.0,21:02
22.0,60.0,21:05
21.5,60.0,21:08
21.5,60.0,21:11
21.6,60.0,21:14
21.6,60.0,21:17
21.6,60.0,21:20
21.7,60.0,21:23
21.7,60.0,21:26
21.7,60.0,21:29
21.7,60.0,21:32
21.6,60.0,21:35
21.5,60.0,21:38
22.0,60.0,21:41
22.1,60.0,21:44
22.0,60.0,21:47
22.0,60.0,21:50
21.6,60.0,21:53
21.6,60.0,21:56
21.6,60.0,21:59
21.6,60.0,22:02
21.6,60.0,22:05
21.6,60.0,22:08
21.7,60.0,22:11
21.6,60.0,22:14
21.4,60.0,22:17
21.4,60.0,22:20
22.0,60.0,22:23
22.1,60.0,22:26
22.1,60.0,22:29
22.1,60.0,22:32
22.1,60.0,22:35
21.6,60.0,22:38
21.6,60.0,22:41
21.6,60.0,22:44
21.6,60.0,22:47
21.7,60.0,22:50
21.6,60.0,22:53
21.5,60.0,22:56
21.5,60.0,22:59
21.5,60.0,23:02
22.1,60.0,23:05
22.1,60.0,23:08
22.1,60.0,23:11
22.1,60.0,23:14
22.1,60.0,23:17
21.6,60.0,23:20
21.6,60.0,23:23
21.7,60.0,23:26
21.6,60.0,23:29
