TempRev,TempSet,TimeLog
70.4,80.0,11:42:42
41.8,80.0,11:42:51
44.3,80.0,11:42:57
48.7,80.0,11:43:06
54.7,80.0,11:43:15
60.9,80.0,11:43:24
64.5,80.0,11:43:33
65.7,80.0,11:43:42
65.1,80.0,11:43:51
63.4,80.0,11:44:00
62.1,80.0,11:44:09
62.2,80.0,11:44:18
64.1,80.0,11:44:27
68.5,80.0,11:44:36
72.6,80.0,11:44:45
75.9,80.0,11:44:54
77.2,80.0,11:45:03
76.5,80.0,11:45:12
74.5,80.0,11:45:21
72.3,80.0,11:45:30
70.9,80.0,11:45:39
70.2,80.0,11:45:48
72.6,80.0,11:45:57
76.3,80.0,11:46:06
79.8,80.0,11:46:15
81.9,80.0,11:46:24
81.7,80.0,11:46:33
79.6,80.0,11:46:42
77.3,80.0,11:46:51
75.1,80.0,11:47:00
74.1,80.0,11:47:09
75.2,80.0,11:47:18
78.0,80.0,11:47:27
81.0,80.0,11:47:36
80.5,80.0,11:47:45
79.2,80.0,11:47:54
79.3,80.0,11:48:03
79.6,80.0,11:48:12
79.4,80.0,11:48:21
79.3,80.0,11:48:30
79.2,80.0,11:48:39
79.1,80.0,11:48:48
79.3,80.0,11:48:57
79.4,80.0,11:49:06
79.0,80.0,11:49:15
78.9,80.0,11:49:24
78.8,80.0,11:49:33
79.4,80.0,11:49:42
80.0,80.0,11:49:51
80.6,80.0,11:50:00
81.2,80.0,11:50:09
80.7,80.0,11:50:18
79.8,80.0,11:50:27
78.7,80.0,11:50:36
77.7,80.0,11:50:45
78.3,80.0,11:50:54
79.0,80.0,11:51:03
80.3,80.0,11:51:12
81.6,80.0,11:51:21
82.3,80.0,11:51:30
81.8,80.0,11:51:39
80.6,80.0,11:51:48
79.3,80.0,11:51:57
78.2,80.0,11:52:06
78.1,80.0,11:52:15
79.0,80.0,11:52:24
79.8,80.0,11:52:33
80.6,80.0,11:52:42
81.7,80.0,11:52:51
81.9,80.0,11:53:00
81.6,80.0,11:53:09
81.0,80.0,11:53:18
79.9,80.0,11:53:27
78.6,80.0,11:53:36
78.0,80.0,11:53:45
78.7,80.0,11:53:54
79.6,80.0,11:54:04
80.7,80.0,11:54:13
81.5,80.0,11:54:22
81.9,80.0,11:54:31
81.8,80.0,11:54:40
81.2,80.0,11:54:49
79.8,80.0,11:54:58
78.6,80.0,11:55:07
78.2,80.0,11:55:16
78.3,80.0,11:55:25
78.9,80.0,11:55:34
80.0,80.0,11:55:43
81.0,80.0,11:55:52
81.7,80.0,11:56:01
81.7,80.0,11:56:10
81.6,80.0,11:56:19
81.0,80.0,11:56:28
79.9,80.0,11:56:37
78.1,80.0,11:56:46
77.3,80.0,11:56:55
77.2,80.0,11:57:04
78.2,80.0,11:57:13
79.7,80.0,11:57:22
81.7,80.0,11:57:31
